$Date$
name          = plugin name
version       = current plugin version
dir           = place that stores translations
                (0 = squirrelmail.po,
                 1 = plugins/plugin-name/locale,
                 2 = locale)
i18n comments = Internationalization related comments
 
name                    version  dir  i18n comments
abook_group             0.50      1   added
abook_import_export     0.9       2   added
abook_take              1.5       0   part of core
abook_utils             4.0       -   untranslated
addgraphics             2.2       -   untranslated		
address_add             2.0       1   added (rtl ?)
admin_add               0.1       1   added (rtl ?)
amavisnewsql            0.8.0     1   added
archive_mail            1.2       2   added (rtl, date and string issues)
askuserinfo             1.0       1   added
attachment_doc          1.2       1   added
attachment_tnef         0.7       0   partly translated (sm domain)
auto_cc                 2.0       0   added (sm domain)
auto_prune_sent         1.1       -   untranslated
autocomplete            2.0       0   added (sm domain)
autorespond             0.4       -   untranslated (rtl issues)
autosubscribe           1.0       -   no translatable strings
avelsieve               1.0.1     1   added
bayesspam               3.7.1     1   added (rtl issues, floating numbers issues)
block_attach            0.7       1   added
block_sender            2.02      0   added (sm domain)
bookmarks               2.0.3     -   untranslated (cr and rtl issues)
bounce                  0.5       1   added
browser_info            3.0       -   utility, no translatable strings
calendar                0.2       0   part of core
calendar_file_backend   1.0       -   untranslated
calendar_sql_backend    1.1       -   untranslated
can_weather             2.2.2     -   untranslated (font and rtl issues)
change_ldappass         1.8       1   added
change_merakpass        0.9       1   added
change_mysqlpass        3.2       0   added (sm domain)
change_pass             2.7       1   added
change_passwd           4.1       1   added
change_qldforward       1.00      -   untranslated (rtl issues)
check_quota             1.4       1   added
chg_sasl_passwd         1.4.1     1   added
cleanup                 0.2       -   utility, no translatable strings
click_menu                        -   untranslated
collapsing_folders_list 1.0       -   no translatable strings
compatibility           2.0.1     2   added
compose_chars           0.1       -   untranslated
compose_fix             0.3       2   added
contactclean            2.01      1   added
cookie_warning          1.1       2   added
courier_vacation        1.1       0   added (sm domain)
cpanel_pw_changer       1.3       1   added
cpanel_vacation         0.2       1   added
custom_charset          1.1       2   added
custom_from             1.1       0   added (sm domain)
debugger                1.2       2   added
deref_ldap              1.0       -   patch, not plugin
dictionary              0.6       0   part translated (sm domain, rtl)
disk_quota              3.1.1     1   added
download_all            0.1       -   untranslated
email_footer            0.4       -   utility, no translatable strings
emoticons               1.1       -   untranslated (rtl issues)
empty_folders           1.1       1   added (rtl issues)
empty_trash             1.4       -   utility, no translatable strings
exchange_meeting        0.3       -   untranslated (cr and multibyte charsets issues)
extract                 0.1       0   added (sm domain)
file_manager            2.0       1   added
filters                 0.853     0   part of core
folder_settings.tar.gz            -   untranslated (rtl issues)
folder_sizes            1.4       0   added (sm domain)
folder_synch            0.8       -   untranslated (rtl issues)
forced_prefs            1.1       -   utility, no translatable strings
form_validation         1.1       -   untranslated
freecell                1.0       -   untranslated
get_uuencode            3.1       -   utility, no translatable strings
global_sql_addressbook.tar.gz     -   patch
got_hotmail             0.6.2     0   added (sm domain)
gpg                     2.0       1   added (30 Dec 2003 v2.0 contains strings found during French translation)
gzip                    2.02      1   added (rtl issues)
