$Date$

Name          = Plugin name (code/directory name)

Version       = Version of the plugin to which .pot file in SVN corresponds
                (not necessarily the newest version of the plugin)

Dir           = Place that stores translations
                  0 = squirrelmail.po
                  1 = plugins/plugin-name/locale (plugin contains
                      its own translations)
                  2 = locale (SquirrelMail locale directory contains
                      plugin translation files) (best)
                  3 = extras (only in SVN repository; not provided
                      with translation packages)
                  - = no translation is stored (plugin translation
                      implementation is probably broken or has other problem)

i18n comments = Internationalization related comments; should always start
                with either Y (plugin translation is in SVN) or N (plugin
                translation is not in SVN)

Plugins with dir = 0 (also 3? also -?) or comments starting with "Y-BAD"(?)
or "N" may not be appropriate for distribution in locales packages.

Plugins ordered same as found on http://www.squirrelmail.org/plugin_list.php

This *entire* list was last reviewed in detail in December 2011 (Paul Lesniewski).
It should be reasonably up to date, especially if we make a point of updating it
when new plugin releases are made and new translations are committed to SVN.

TODO: Should we number each line for ease of use? (Currently (December 2011), this
      file has a total of 227 plugins)

Name                        Version    Dir  i18n comments
abook_backend_template      1.0         -   N ("not real plugin"; only for 1.5.1+(?))
abook_group                 0.51.1      1   Y
abook_import_export         1.1         2   Y
abook_take                  1.5         0   N (OBSOLETE) (part of core)
add_address                 1.0.3       2   Y
addgraphics                 2.3         -   N (no translatable strings)
abook_group_pagination      1.1.1       2   Y
address_add                 2.1         1   Y (rtl ?) (OBSOLETE)
add_header                  1.0         -   N (no translatable strings)
administrator               0.3         -   N (OBSOLETE)
admin_add                   0.1         1   Y-BAD (rtl?) (tarball missing .pot file & locale dir)
advanced_settings           1.2.1.sm    2   Y
amavisnewsql                0.8.0       1   Y
annotatemore                0.2         1   Y-BAD (rtl and string issues; partly untranslated; doesn't bind to correct text domain; tarball missing .pot file)
archive_mail                1.2         2   Y (rtl, date and string issues)
askuserinfo                 1.0         2   Y-BAD (NOT TRANSLATED) (v1.1 unfixed)
attachment_common           2.2         -   N (OBSOLETE)
attachment_doc              1.2         1   Y-BAD (tarball missing .pot file; locale directory incorrectly formatted)
autocomplete                3.0         2   Y
autorespond                 0.5.1       -   N (strings in config file; tarball missing .pot file; possible rtl issues)
autosubscribe               1.1         -   N (no translatable strings)
auto_cc                     2.0         3   Y-BAD (incorrectly uses sm domain; tarball missing .pot file)
auto_prune_sent             1.1         -   N (untranslated) (OBSOLETE)
avelsieve                   1.9.9       1   Y
bayesspam                   3.7.1       1   Y (rtl issues, floating numbers issues)
block_attach                0.7         1   Y-BAD (tarball missing .pot file & locale directory)
block_sender                2.02        3   Y-BAD (incorrectly uses sm domain)
bookmarks                   2.0.3       -   N (untranslated (cr and rtl issues))
bounce                      0.5         1   Y
bug_report                  2.0         0   N (OBSOLETE) (part of core)
bypass_trash                1.0         2   Y
calendar                    0.2         0   N (OBSOLETE) (part of core)
calendar_file_backend       1.0         -   N (no translatable strings)
calendar_sql_backend        1.1         -   N (no translatable strings)
canadian_weather            3.2.0       3   Y-BAD (incorrectly uses sm domain; font and rtl issues; tarball missing .pot file)
captcha                     1.2.3       2   Y
censor                      1.0         2   Y
change_ldappass             2.2         1   Y
change_merakpass            0.9         1   Y
change_pass                 3.1         2   Y
change_passwd               4.0         1   Y (also labeled as change_password on website)
change_passwd               4.3         2   Y (newer version changed translation location)
change_qldforward           1.00        -   N (untranslated; rtl issues)
change_sqlpass              3.3         2   Y
check_quota                 2.2         2   Y
chg_sasl_passwd             1.4.1       1   Y
cleanup                     0.3         -   N (no translatable strings)
compatibility               2.0.16      2   Y
compose_chars               0.1         -   N (untranslated)
compose_extras              0.9         2   Y (was compose_fix)
compose_new_window          0.1         0   N (OBSOLETE) (part of core)
contactclean                3.3.1       2   Y
cookie_warning              1.1         2   Y (tarball missing .pot file)
courier_vacation            1.1         3   Y-BAD (incorrectly uses sm domain; tarball missing .pot file)
cpanel_pw_changer           1.3         1   Y
cpanel_vacation             0.2         1   Y
custom_charset              1.1         2   Y (tarball missing .pot file)
custom_from                 1.1         3   Y (incorrectly uses sm domain)
debugger                    1.2         2   Y
delete_move_next            3.0         0   N (OBSOLETE) (part of core)
deref_ldap                  1.0         -   N (patch, not plugin)
dictionary                  0.6         -   N (part translated; incorrectly uses sm domain, rtl issues)
disk_quota (Usage)          2.0.2       -   N (OBSOLETE)
disk_quota                  3.1.1       1   Y (OBSOLETE)
download_all                0.1         -   N (untranslated)
email_footer                0.6         2   Y
email_priority              0.2.0       -   N (OBSOLETE)
emoticons                   1.0         -   N (untranslated; rtl issues) (OBSOLETE)
empty_trash                 2.0         -   N (no translatable strings)
empty_folders               2.0.1       2   Y
exchange_meeting            0.3         -   N (untranslated; cr and multibyte charset issues)
